0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
-2028.0,-13544.0,-3100.0,-25929.0,-16229.0,-6860.0,4672.0,-3444.0,13544.0,-19885.0,3000.0,29891.0,2980.0,4808.0,9480.0,32767.0,-2126.0,16508.0
-1996.0,-13660.0,-3640.0,-26507.0,-18878.0,-7705.0,5016.0,-3824.0,13756.0,-19078.0,2892.0,31566.0,3496.0,3648.0,11844.0,32767.0,-1254.0,18493.0
-1952.0,-13488.0,-3960.0,-26860.0,-22143.0,-7889.0,4752.0,-3852.0,13320.0,-18054.0,2372.0,32578.0,4048.0,4656.0,11708.0,32767.0,-1495.0,19469.0
-1284.0,-14456.0,-3640.0,-25180.0,-22735.0,-7847.0,3676.0,-3352.0,11632.0,-15508.0,1316.0,32207.0,5904.0,3892.0,8444.0,32767.0,-1894.0,19318.0
-1332.0,-14312.0,-3420.0,-21825.0,-20663.0,-7472.0,2384.0,-2192.0,10940.0,-13054.0,-594.0,30740.0,7348.0,4132.0,6812.0,32076.0,-1694.0,17734.0
-1524.0,-14384.0,-3824.0,-18625.0,-19775.0,-6824.0,2120.0,-2416.0,11704.0,-9918.0,-2034.0,28400.0,8256.0,4780.0,4544.0,28121.0,-213.0,15912.0
-1864.0,-14024.0,-3740.0,-15379.0,-16749.0,-5936.0,1768.0,-552.0,13480.0,-5076.0,-2963.0,26169.0,8576.0,6160.0,2776.0,23450.0,248.0,14052.0
-1912.0,-13096.0,-4304.0,-11455.0,-14627.0,-5159.0,976.0,-652.0,12908.0,-4714.0,-1949.0,21033.0,9156.0,5620.0,3048.0,19546.0,2371.0,12701.0
-1836.0,-12712.0,-4472.0,-9239.0,-13247.0,-5250.0,936.0,-1924.0,12896.0,-5039.0,-2257.0,18225.0,8188.0,7160.0,6652.0,17484.0,3422.0,11642.0
-2092.0,-13056.0,-4212.0,-7873.0,-13328.0,-6118.0,956.0,-3828.0,11320.0,-4246.0,-3313.0,16668.0,8260.0,6596.0,8132.0,16878.0,3499.0,10801.0
-2420.0,-12960.0,-3868.0,-6867.0,-13117.0,-6938.0,1652.0,-3048.0,12064.0,-3806.0,-4790.0,16268.0,8668.0,6496.0,8076.0,16049.0,3797.0,10027.0
-2308.0,-13160.0,-3712.0,-5739.0,-12683.0,-7274.0,2172.0,-2792.0,12824.0,-3645.0,-5981.0,15316.0,8384.0,7036.0,6720.0,14992.0,4854.0,8636.0
-2672.0,-13024.0,-4120.0,-4548.0,-11660.0,-7018.0,2892.0,-2904.0,14252.0,-3640.0,-6046.0,14436.0,8108.0,7944.0,7764.0,13113.0,6081.0,8938.0
-2424.0,-13168.0,-4264.0,-4688.0,-10884.0,-6656.0,3140.0,-2860.0,14744.0,-3706.0,-5633.0,14190.0,9356.0,6296.0,8820.0,12028.0,5470.0,7854.0
-2320.0,-12964.0,-4228.0,-4550.0,-9951.0,-6212.0,2272.0,-1920.0,14820.0,-4660.0,-5766.0,13386.0,9044.0,7768.0,8524.0,11930.0,5330.0,6199.0
-2480.0,-13008.0,-4784.0,-5029.0,-9486.0,-6198.0,2436.0,-2412.0,15384.0,-5366.0,-5038.0,11885.0,9132.0,7808.0,8272.0,11952.0,5200.0,5394.0
-2340.0,-13104.0,-4324.0,-4998.0,-9233.0,-6427.0,1672.0,-3492.0,13012.0,-5621.0,-5022.0,10845.0,9360.0,7936.0,7900.0,11888.0,4819.0,4242.0
