0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
-6600.0,-8212.0,12180.0,-1780.0,-656.0,-172.0,2924.0,11096.0,14104.0,-4024.0,2851.0,593.0,5972.0,-16052.0,5184.0,2006.0,-3737.0,1012.0
-6560.0,-8244.0,12552.0,-3275.0,-975.0,-30.0,3084.0,10632.0,13568.0,-5150.0,3483.0,1535.0,5476.0,-14008.0,7956.0,2467.0,-5831.0,1574.0
-6080.0,-9424.0,12288.0,-4138.0,-1332.0,201.0,4024.0,11972.0,17480.0,-5466.0,5297.0,1435.0,5156.0,-16236.0,8792.0,4000.0,-9657.0,1073.0
-5556.0,-10044.0,12796.0,-4896.0,-677.0,905.0,5516.0,13748.0,20008.0,-8873.0,8752.0,389.0,5392.0,-12480.0,10432.0,2259.0,-13228.0,2628.0
-5276.0,-12780.0,13704.0,-7187.0,-1678.0,1656.0,6104.0,12180.0,20680.0,-10707.0,12459.0,-1161.0,4784.0,-14720.0,12732.0,2657.0,-16916.0,2905.0
-4912.0,-14592.0,13912.0,-7358.0,-1251.0,2755.0,8308.0,6556.0,20428.0,-12984.0,14437.0,-479.0,4196.0,-13044.0,17908.0,4901.0,-20796.0,5616.0
-5612.0,-16276.0,13264.0,-4998.0,-2833.0,5134.0,10708.0,3808.0,25608.0,-12329.0,17929.0,1495.0,1260.0,-17692.0,23560.0,6005.0,-29452.0,6330.0
-5984.0,-14760.0,11172.0,-7166.0,-4505.0,8838.0,15172.0,2408.0,32767.0,-16761.0,24539.0,7057.0,-604.0,-19064.0,27340.0,41.0,-32768.0,9125.0
-4892.0,-17208.0,10812.0,-17174.0,-7082.0,13140.0,15100.0,5852.0,32767.0,-20739.0,31924.0,11982.0,3876.0,-23132.0,7792.0,-1867.0,-32768.0,2327.0
-3972.0,-17836.0,10896.0,-24735.0,-4874.0,17650.0,12736.0,7428.0,26604.0,-25285.0,32767.0,15306.0,6884.0,-21508.0,10004.0,5810.0,-32768.0,-1443.0
-4444.0,-18452.0,11172.0,-28798.0,-3541.0,20380.0,9036.0,7112.0,16848.0,-26573.0,32673.0,19119.0,7140.0,-20708.0,4364.0,4579.0,-32768.0,-6211.0
-4748.0,-17856.0,11912.0,-27858.0,-2252.0,22108.0,4464.0,7124.0,12152.0,-23662.0,27238.0,21005.0,7388.0,-14540.0,2704.0,5753.0,-32768.0,-8486.0
-5580.0,-15836.0,9468.0,-24334.0,1185.0,22757.0,3800.0,5936.0,15252.0,-21111.0,25638.0,20532.0,4684.0,-9536.0,6544.0,3358.0,-32768.0,-5748.0
-6588.0,-14728.0,8840.0,-23085.0,-932.0,24151.0,4968.0,1812.0,16524.0,-19352.0,27436.0,20423.0,5104.0,-8040.0,3804.0,2804.0,-32768.0,-3864.0
-6900.0,-14508.0,8260.0,-22156.0,-2331.0,25319.0,2644.0,2172.0,11776.0,-15386.0,28148.0,22648.0,5984.0,-9504.0,-3044.0,479.0,-32768.0,-3477.0
-6980.0,-11960.0,7496.0,-19849.0,-2917.0,25637.0,500.0,6516.0,10620.0,-12476.0,28602.0,21686.0,5956.0,-8348.0,-1372.0,2284.0,-32768.0,-2060.0
-7280.0,-9852.0,7616.0,-17556.0,-3009.0,24258.0,-1280.0,7648.0,7616.0,-12032.0,26567.0,21739.0,6308.0,-9104.0,-7664.0,-2195.0,-32768.0,192.0
-7284.0,-7688.0,8104.0,-15036.0,-4629.0,22168.0,-5096.0,9280.0,2276.0,-8932.0,23861.0,19762.0,5168.0,-10484.0,-6800.0,-1606.0,-32631.0,-5.0
-7320.0,-4624.0,7232.0,-12979.0,-5007.0,19264.0,-6624.0,9672.0,740.0,-8526.0,19298.0,17812.0,4656.0,-11424.0,-6748.0,807.0,-29811.0,948.0
-7296.0,-3640.0,6100.0,-12066.0,-6718.0,16037.0,-6492.0,10016.0,3980.0,-8174.0,16857.0,15325.0,4464.0,-14940.0,-9836.0,3881.0,-26915.0,-1998.0
-7056.0,-2508.0,4348.0,-13734.0,-7273.0,11548.0,-6404.0,11464.0,7508.0,-13093.0,16203.0,13183.0,5252.0,-14024.0,-8904.0,6861.0,-23974.0,-4528.0
-7808.0,-3924.0,5388.0,-17176.0,-10178.0,7576.0,-6468.0,7344.0,4568.0,-15315.0,14302.0,12301.0,5252.0,-6232.0,-9860.0,8409.0,-20340.0,-2682.0
