0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
-2360.0,-10500.0,12852.0,-432.0,-72.0,-104.0,-1668.0,12220.0,10820.0,-824.0,-247.0,592.0,8016.0,-3172.0,13212.0,186.0,607.0,-208.0
-2404.0,-10792.0,12848.0,-209.0,-257.0,-209.0,-2644.0,13240.0,9540.0,-755.0,-259.0,327.0,8192.0,-3404.0,12944.0,-102.0,787.0,-89.0
-2272.0,-10780.0,12860.0,20.0,-115.0,-64.0,-2072.0,12732.0,10312.0,-343.0,-234.0,339.0,8248.0,-3512.0,12948.0,-491.0,858.0,-5.0
-2404.0,-10656.0,12988.0,290.0,-135.0,-81.0,-2196.0,13312.0,10436.0,-239.0,87.0,104.0,8088.0,-3452.0,13292.0,-484.0,896.0,365.0
-2328.0,-10692.0,13112.0,134.0,-286.0,-124.0,-2156.0,12660.0,9656.0,-297.0,-249.0,333.0,8484.0,-3624.0,14020.0,-419.0,1154.0,72.0
-2272.0,-10664.0,13224.0,-87.0,-460.0,-375.0,-2140.0,13812.0,10280.0,-462.0,-628.0,654.0,8712.0,-4068.0,14624.0,48.0,895.0,-241.0
-1972.0,-11020.0,13492.0,-545.0,-306.0,-361.0,-1920.0,14372.0,10760.0,-908.0,-684.0,489.0,8280.0,-3640.0,14472.0,108.0,767.0,-372.0
-1700.0,-11388.0,13716.0,-964.0,138.0,65.0,-1744.0,14488.0,11112.0,-1101.0,-259.0,259.0,8316.0,-3504.0,14256.0,113.0,-60.0,-524.0
-2044.0,-11544.0,13768.0,-723.0,50.0,330.0,-1796.0,15760.0,9876.0,-1402.0,-1415.0,111.0,8508.0,-3520.0,15896.0,-161.0,115.0,-279.0
-2024.0,-11548.0,14400.0,-1389.0,551.0,495.0,-1168.0,15052.0,13416.0,-1122.0,-371.0,161.0,7980.0,-3188.0,13904.0,608.0,-174.0,-608.0
-1800.0,-11472.0,13904.0,-1028.0,-233.0,208.0,-1408.0,13684.0,10036.0,-1830.0,170.0,182.0,8952.0,-4124.0,16032.0,669.0,-348.0,-276.0
-2092.0,-11280.0,13836.0,-1992.0,-142.0,454.0,-896.0,14340.0,11420.0,-2142.0,-1246.0,1980.0,9140.0,-3928.0,17336.0,1407.0,-743.0,-782.0
-1660.0,-11696.0,14624.0,-3306.0,40.0,619.0,-1084.0,15460.0,12488.0,-3265.0,-1342.0,2297.0,9052.0,-4180.0,16404.0,2592.0,-1534.0,-1431.0
-1628.0,-11504.0,14192.0,-4352.0,-565.0,100.0,-680.0,14068.0,11100.0,-4478.0,-999.0,2466.0,8684.0,-3740.0,16344.0,3669.0,-1683.0,-1917.0
-1472.0,-12720.0,14348.0,-5385.0,-592.0,198.0,-524.0,14196.0,10848.0,-4676.0,-1443.0,2736.0,8172.0,-3212.0,15604.0,3846.0,-2259.0,-2086.0
-1048.0,-12848.0,13928.0,-4929.0,-372.0,588.0,-460.0,15572.0,12396.0,-4655.0,-1488.0,2770.0,8208.0,-2620.0,16484.0,3455.0,-2202.0,-1601.0
-984.0,-13396.0,14316.0,-4949.0,92.0,1222.0,448.0,14420.0,12668.0,-4410.0,-887.0,3000.0,8584.0,-2520.0,15936.0,2929.0,-2555.0,-1649.0
-1108.0,-13140.0,14132.0,-5044.0,-161.0,1366.0,844.0,13348.0,11888.0,-4989.0,-1414.0,3974.0,8964.0,-2816.0,17804.0,3662.0,-3115.0,-1939.0
