0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
-448.0,-11336.0,12264.0,181.0,722.0,276.0,6640.0,2448.0,14496.0,-480.0,503.0,-417.0,7004.0,-360.0,13968.0,-828.0,234.0,-189.0
-436.0,-11168.0,12388.0,272.0,528.0,159.0,6756.0,2392.0,14520.0,-625.0,225.0,-357.0,6944.0,-176.0,14384.0,-659.0,326.0,-110.0
-612.0,-11168.0,12436.0,178.0,334.0,100.0,6680.0,2532.0,14816.0,-643.0,110.0,-208.0,7136.0,-444.0,14204.0,-478.0,249.0,-60.0
-460.0,-11264.0,12468.0,79.0,194.0,47.0,6628.0,2848.0,15096.0,-626.0,83.0,-332.0,7064.0,-340.0,14080.0,-599.0,469.0,-201.0
-172.0,-11288.0,12552.0,91.0,213.0,-19.0,6948.0,2492.0,14804.0,-703.0,25.0,-323.0,6952.0,-200.0,14348.0,-542.0,533.0,-139.0
-144.0,-11332.0,12484.0,39.0,347.0,8.0,7012.0,2700.0,15308.0,-657.0,-66.0,-278.0,7108.0,-284.0,14620.0,-388.0,373.0,-200.0
-224.0,-11356.0,12372.0,35.0,577.0,231.0,7176.0,2644.0,15728.0,-909.0,208.0,-307.0,6944.0,-168.0,14172.0,-463.0,93.0,-188.0
-316.0,-11356.0,12316.0,136.0,713.0,303.0,6620.0,2400.0,14668.0,-872.0,458.0,-352.0,6924.0,-192.0,13712.0,-776.0,61.0,-182.0
-512.0,-11116.0,12368.0,359.0,603.0,157.0,6256.0,2452.0,14184.0,-404.0,370.0,-446.0,7004.0,-332.0,13960.0,-829.0,211.0,-160.0
-692.0,-10948.0,12320.0,201.0,308.0,-111.0,6472.0,2444.0,14620.0,-506.0,-112.0,-382.0,7124.0,-488.0,14208.0,-462.0,580.0,-201.0
-756.0,-10936.0,12368.0,-162.0,-63.0,-365.0,6468.0,2488.0,14776.0,-919.0,-601.0,-117.0,7248.0,-368.0,14312.0,-90.0,794.0,-296.0
-516.0,-11112.0,12500.0,-597.0,-164.0,-447.0,6576.0,2652.0,14972.0,-1045.0,-733.0,80.0,7204.0,-292.0,14336.0,188.0,892.0,-423.0
-312.0,-11320.0,12288.0,-442.0,50.0,-382.0,6692.0,2552.0,15272.0,-1077.0,-525.0,-156.0,7080.0,-168.0,13692.0,-124.0,691.0,-478.0
-380.0,-11488.0,12292.0,-268.0,453.0,-191.0,6652.0,2560.0,15196.0,-870.0,-144.0,-442.0,7040.0,-204.0,13644.0,-439.0,479.0,-376.0
-292.0,-11536.0,12260.0,325.0,892.0,-89.0,6600.0,2576.0,14772.0,-723.0,128.0,-758.0,6916.0,-28.0,13464.0,-1141.0,516.0,-466.0
-452.0,-11432.0,12240.0,776.0,778.0,-119.0,6564.0,2140.0,14304.0,-339.0,198.0,-995.0,6852.0,-40.0,13952.0,-1302.0,677.0,-191.0
-744.0,-10900.0,12272.0,724.0,439.0,-227.0,6864.0,1788.0,14612.0,-142.0,-130.0,-626.0,7148.0,-272.0,14752.0,-921.0,861.0,-138.0
-856.0,-10748.0,12252.0,-80.0,-240.0,-421.0,6740.0,2104.0,14916.0,-536.0,-584.0,67.0,7200.0,-200.0,14632.0,-71.0,1040.0,-184.0
-736.0,-11024.0,12196.0,-522.0,-582.0,-557.0,6432.0,2512.0,15024.0,-852.0,-885.0,313.0,7284.0,-360.0,13684.0,394.0,1111.0,-147.0
-596.0,-11296.0,12236.0,-412.0,-495.0,-533.0,6100.0,2628.0,14428.0,-792.0,-968.0,171.0,7180.0,-268.0,13264.0,34.0,1259.0,-194.0
-660.0,-11196.0,12328.0,43.0,-387.0,-574.0,6004.0,2620.0,14576.0,-308.0,-978.0,-228.0,7300.0,-540.0,13160.0,-497.0,1297.0,-88.0
-792.0,-10792.0,12332.0,439.0,-216.0,-742.0,5848.0,2964.0,14720.0,-7.0,-759.0,-505.0,7356.0,-720.0,13320.0,-844.0,1381.0,-239.0
-656.0,-10724.0,12296.0,491.0,-142.0,-872.0,6012.0,3008.0,14676.0,-420.0,-1130.0,-621.0,7236.0,-876.0,13460.0,-924.0,1598.0,-446.0
-516.0,-10524.0,12548.0,292.0,-239.0,-1040.0,6576.0,2636.0,14428.0,-591.0,-1639.0,-474.0,6908.0,-608.0,14876.0,-283.0,1720.0,-495.0
-36.0,-10680.0,12368.0,-367.0,-810.0,-1093.0,7796.0,3048.0,14468.0,-491.0,-2036.0,-305.0,6136.0,-400.0,15868.0,278.0,1654.0,-767.0
1120.0,-10872.0,12784.0,-1359.0,-964.0,-552.0,9172.0,2552.0,14148.0,-624.0,-2429.0,407.0,5500.0,228.0,17156.0,1299.0,1538.0,-551.0
1888.0,-11524.0,12940.0,-2456.0,-1259.0,-315.0,10348.0,2436.0,15100.0,-1263.0,-3199.0,1171.0,4772.0,396.0,16456.0,1990.0,1740.0,-676.0
2544.0,-12124.0,13072.0,-3436.0,-2073.0,-437.0,11192.0,1892.0,14216.0,-2082.0,-3190.0,2112.0,3576.0,1280.0,16772.0,2906.0,2596.0,-148.0
2764.0,-12276.0,12912.0,-3542.0,-3305.0,-580.0,11512.0,1216.0,12660.0,-2228.0,-3706.0,3425.0,3256.0,1324.0,17780.0,4399.0,3366.0,602.0
