0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
-3556.0,-12636.0,10056.0,-494.0,371.0,-19.0,2768.0,14652.0,8588.0,-1125.0,74.0,404.0,10832.0,-6592.0,10816.0,126.0,626.0,-471.0
-3704.0,-12968.0,10080.0,-922.0,554.0,65.0,2844.0,14296.0,8632.0,-1302.0,-101.0,316.0,10720.0,-6372.0,10484.0,-65.0,684.0,-666.0
-3704.0,-13092.0,9988.0,-767.0,572.0,297.0,2916.0,13788.0,8672.0,-1155.0,-138.0,387.0,10664.0,-6212.0,10600.0,-213.0,552.0,-594.0
-3756.0,-13040.0,9928.0,-633.0,455.0,492.0,2764.0,14028.0,8484.0,-1005.0,-59.0,499.0,10804.0,-6432.0,10268.0,-495.0,498.0,-705.0
-3768.0,-13008.0,9932.0,-643.0,578.0,349.0,2840.0,14008.0,8532.0,-1009.0,-125.0,229.0,10692.0,-6348.0,10864.0,-568.0,470.0,-771.0
-3688.0,-13048.0,10040.0,-640.0,590.0,276.0,3000.0,14356.0,8856.0,-1049.0,-219.0,17.0,11116.0,-6696.0,11644.0,-297.0,-74.0,-972.0
-3508.0,-13048.0,10028.0,-1075.0,1083.0,152.0,2976.0,15692.0,9304.0,-1725.0,-25.0,-350.0,11496.0,-6848.0,11120.0,-99.0,-424.0,-1768.0
-3644.0,-13388.0,9952.0,-2411.0,1104.0,794.0,3396.0,15176.0,9620.0,-2357.0,-70.0,-590.0,11308.0,-6476.0,11596.0,-155.0,-592.0,-2110.0
-3708.0,-13504.0,10064.0,-2489.0,2144.0,1357.0,3820.0,14376.0,9940.0,-2593.0,-42.0,-145.0,12040.0,-6536.0,11360.0,29.0,-774.0,-2447.0
-3932.0,-13220.0,9952.0,-3126.0,1932.0,1779.0,3740.0,14212.0,10088.0,-3191.0,590.0,882.0,12048.0,-7016.0,11656.0,322.0,-369.0,-3095.0
-4284.0,-13520.0,10124.0,-3868.0,1578.0,1458.0,3744.0,13852.0,9604.0,-3518.0,537.0,1872.0,11744.0,-6692.0,12276.0,635.0,-11.0,-3760.0
-4192.0,-13216.0,9944.0,-4942.0,1289.0,1613.0,3596.0,14692.0,9864.0,-4401.0,518.0,3082.0,12284.0,-7284.0,12632.0,2309.0,-321.0,-4198.0
-4240.0,-13416.0,10116.0,-6194.0,1664.0,1132.0,3996.0,14856.0,9916.0,-5883.0,375.0,4317.0,12688.0,-7908.0,13408.0,3593.0,-170.0,-5110.0
-4424.0,-13500.0,10104.0,-8501.0,1711.0,733.0,4388.0,15124.0,9924.0,-7842.0,-357.0,5768.0,13176.0,-8092.0,14436.0,5842.0,-426.0,-6460.0
-4116.0,-13672.0,10196.0,-11247.0,2124.0,106.0,5332.0,15776.0,10796.0,-10652.0,-952.0,8265.0,13948.0,-8684.0,15144.0,8217.0,-515.0,-7817.0
-3984.0,-14604.0,9640.0,-14481.0,1144.0,-478.0,6184.0,16540.0,11648.0,-13570.0,-1118.0,10633.0,13996.0,-8884.0,15584.0,10531.0,-681.0,-9887.0
-3876.0,-15504.0,9676.0,-16160.0,650.0,-386.0,7216.0,16664.0,12576.0,-15434.0,-604.0,11661.0,13172.0,-7052.0,15160.0,12046.0,-668.0,-11451.0
-3732.0,-16356.0,9156.0,-18871.0,1816.0,1082.0,9368.0,15088.0,15356.0,-15512.0,1708.0,13927.0,12700.0,-6508.0,15616.0,13021.0,-1188.0,-12210.0
-3540.0,-14632.0,7532.0,-21701.0,3162.0,2024.0,9432.0,15364.0,17152.0,-18453.0,5751.0,15561.0,13368.0,-7512.0,17096.0,15943.0,-1271.0,-13314.0
-3644.0,-13600.0,6860.0,-28129.0,2214.0,-1137.0,8788.0,13324.0,16020.0,-24221.0,9894.0,17033.0,14140.0,-7896.0,17748.0,22943.0,751.0,-15087.0
-2532.0,-14600.0,5032.0,-32768.0,-602.0,-6087.0,6712.0,12112.0,12208.0,-29885.0,11360.0,19585.0,14012.0,-6532.0,14668.0,28713.0,3692.0,-16843.0
-3248.0,-15940.0,3344.0,-32768.0,-2791.0,-9579.0,5392.0,10392.0,9424.0,-31499.0,9615.0,21393.0,13028.0,-4340.0,10528.0,32645.0,7156.0,-18552.0
-2692.0,-17660.0,2392.0,-32768.0,-4079.0,-9933.0,6256.0,9368.0,10956.0,-29235.0,7195.0,21291.0,10328.0,-764.0,10856.0,31007.0,5763.0,-18616.0
-2028.0,-18316.0,1180.0,-32156.0,-4855.0,-7316.0,10300.0,6864.0,15804.0,-26244.0,6617.0,23837.0,8300.0,2148.0,11396.0,28042.0,4611.0,-18173.0
-808.0,-18720.0,92.0,-28456.0,-6489.0,-4747.0,11064.0,8716.0,18916.0,-23637.0,10544.0,23425.0,7372.0,3168.0,11780.0,26207.0,2788.0,-17270.0
-856.0,-17208.0,-788.0,-28170.0,-5733.0,-2381.0,10260.0,7872.0,17860.0,-23919.0,14027.0,21134.0,5580.0,6556.0,13076.0,27023.0,3153.0,-14171.0
-1148.0,-17792.0,-2448.0,-28818.0,-5791.0,-1258.0,10764.0,3680.0,17496.0,-22776.0,16019.0,21193.0,6216.0,6624.0,14360.0,27730.0,1410.0,-10178.0
-1204.0,-16076.0,-3692.0,-28667.0,-9188.0,-1436.0,9744.0,3204.0,17752.0,-23146.0,18645.0,22767.0,7136.0,6500.0,14624.0,30904.0,1462.0,-7798.0
-608.0,-16672.0,-4664.0,-30708.0,-10037.0,-2010.0,8656.0,720.0,16552.0,-24268.0,19796.0,23952.0,7228.0,6832.0,13852.0,32767.0,1460.0,-6517.0
-676.0,-16424.0,-6152.0,-30876.0,-11925.0,-2288.0,6932.0,644.0,15068.0,-24109.0,20314.0,24643.0,6904.0,8000.0,11540.0,32767.0,541.0,-4376.0
-700.0,-17192.0,-7348.0,-29136.0,-12513.0,-1592.0,6848.0,-1128.0,15992.0,-21213.0,20169.0,24113.0,5996.0,10272.0,9056.0,32767.0,251.0,-3874.0
-1424.0,-15624.0,-8036.0,-25365.0,-14657.0,448.0,7456.0,-2264.0,19060.0,-18803.0,21934.0,23356.0,6056.0,11576.0,7812.0,32767.0,-497.0,137.0
-1744.0,-15764.0,-8328.0,-25533.0,-14500.0,1190.0,5516.0,-1844.0,17100.0,-17375.0,24398.0,23377.0,8052.0,8956.0,6572.0,31966.0,-1024.0,1631.0
-1756.0,-14768.0,-9024.0,-22448.0,-16608.0,2273.0,2948.0,-2744.0,12620.0,-15966.0,23402.0,24158.0,8680.0,9516.0,5520.0,31823.0,-1461.0,1437.0
-2708.0,-14244.0,-7796.0,-19967.0,-17855.0,1486.0,1560.0,-5392.0,10632.0,-14137.0,20551.0,27078.0,8780.0,10572.0,4156.0,30727.0,-316.0,2567.0
-3524.0,-13220.0,-8496.0,-17188.0,-17175.0,947.0,1112.0,-10436.0,8952.0,-10359.0,15984.0,32767.0,8788.0,9928.0,4240.0,29170.0,1597.0,2297.0
-4580.0,-12592.0,-8316.0,-14541.0,-18496.0,571.0,1932.0,-8556.0,12548.0,-4991.0,12872.0,32767.0,9988.0,8984.0,2672.0,28871.0,4.0,4003.0
-4624.0,-12072.0,-8820.0,-14906.0,-19839.0,190.0,208.0,-1284.0,14636.0,-2163.0,12835.0,32767.0,9368.0,9892.0,-80.0,27359.0,1831.0,2546.0
-4792.0,-11676.0,-8416.0,-13303.0,-20943.0,-233.0,84.0,36.0,13596.0,-936.0,14088.0,32767.0,9532.0,11028.0,-832.0,25648.0,3550.0,4292.0
-4300.0,-11716.0,-8036.0,-12849.0,-20441.0,-386.0,-948.0,1020.0,13492.0,294.0,14375.0,32767.0,10984.0,9284.0,1228.0,24460.0,4678.0,4422.0
-5024.0,-10776.0,-8200.0,-12626.0,-19593.0,-736.0,-3460.0,4212.0,13600.0,-579.0,14518.0,32767.0,11380.0,8912.0,1276.0,26618.0,4051.0,3314.0
-4856.0,-11372.0,-7988.0,-14732.0,-19462.0,-157.0,-3552.0,4996.0,13828.0,-1214.0,14286.0,28666.0,9456.0,12268.0,-2588.0,26126.0,6666.0,1882.0
-5580.0,-11492.0,-7416.0,-15218.0,-17849.0,421.0,-3600.0,2508.0,14228.0,-1659.0,14902.0,24566.0,9020.0,13220.0,-1804.0,24041.0,7121.0,5504.0
-5884.0,-11656.0,-7524.0,-13640.0,-16424.0,846.0,-4892.0,-156.0,11716.0,-952.0,14234.0,21839.0,11232.0,10372.0,-3276.0,20025.0,6950.0,6296.0
-6224.0,-10480.0,-7440.0,-11274.0,-15444.0,879.0,-5016.0,592.0,11448.0,131.0,12305.0,21414.0,11880.0,9604.0,-3252.0,17890.0,7997.0,5230.0
-6996.0,-9112.0,-7860.0,-8526.0,-13342.0,367.0,-5004.0,1948.0,13560.0,-807.0,11821.0,20481.0,10588.0,10736.0,-896.0,16881.0,10176.0,3975.0
-7024.0,-9616.0,-7348.0,-8437.0,-13461.0,-214.0,-5264.0,2036.0,12964.0,-1820.0,11671.0,19029.0,9792.0,12108.0,-872.0,15810.0,10639.0,5628.0
-6848.0,-9912.0,-6868.0,-9410.0,-13533.0,-609.0,-6576.0,2864.0,11324.0,-2129.0,10341.0,17685.0,10624.0,11576.0,-2456.0,14293.0,8977.0,7487.0
-6616.0,-9800.0,-6788.0,-7916.0,-13006.0,-689.0,-6756.0,3240.0,10576.0,-1853.0,8265.0,16337.0,11168.0,11244.0,-2972.0,12996.0,9577.0,6375.0
-7320.0,-9532.0,-6612.0,-6229.0,-10612.0,-922.0,-6612.0,2032.0,11188.0,-1575.0,6581.0,15872.0,11732.0,11720.0,-4372.0,11091.0,10487.0,8163.0
-8196.0,-8968.0,-6524.0,-5022.0,-10860.0,-1716.0,-6996.0,1904.0,11196.0,-1059.0,5087.0,17071.0,12584.0,9164.0,-952.0,9222.0,10639.0,7831.0
-8472.0,-8220.0,-6268.0,-5671.0,-11207.0,-1983.0,-5632.0,1596.0,13236.0,-926.0,4150.0,17518.0,11832.0,8280.0,432.0,8996.0,9341.0,5555.0
-8356.0,-8784.0,-7488.0,-5508.0,-9499.0,-1819.0,-6452.0,3676.0,14412.0,-266.0,4937.0,16326.0,11584.0,10728.0,-300.0,10408.0,8457.0,5418.0
-8608.0,-9728.0,-7156.0,-6288.0,-8815.0,-1881.0,-7080.0,3668.0,13792.0,-1140.0,5288.0,14962.0,12348.0,11156.0,-1520.0,9761.0,8998.0,5673.0
-9188.0,-10396.0,-7104.0,-6648.0,-9801.0,-2144.0,-7100.0,1188.0,13480.0,-1358.0,4657.0,15291.0,13060.0,10452.0,-508.0,9110.0,8167.0,6379.0
-9044.0,-10588.0,-6708.0,-6493.0,-9824.0,-1918.0,-6884.0,3872.0,13532.0,303.0,3929.0,15127.0,13712.0,9260.0,-288.0,8844.0,7956.0,4797.0
-8976.0,-9728.0,-6288.0,-5565.0,-8626.0,-2033.0,-5988.0,7512.0,15192.0,-924.0,4605.0,13128.0,13716.0,10004.0,244.0,9126.0,7167.0,4968.0
-9128.0,-10900.0,-5808.0,-7235.0,-7162.0,-2272.0,-7064.0,6628.0,14444.0,-2316.0,4829.0,10439.0,13956.0,9940.0,-212.0,8620.0,7142.0,4467.0
-9580.0,-12944.0,-5228.0,-7846.0,-7296.0,-1406.0,-6480.0,3728.0,14080.0,-185.0,3678.0,8622.0,13432.0,11348.0,-472.0,6068.0,6070.0,4441.0
-9484.0,-13116.0,-5044.0,-4634.0,-6038.0,382.0,-6472.0,5772.0,14924.0,1914.0,2393.0,6518.0,13300.0,11616.0,412.0,2890.0,4708.0,5420.0
-9848.0,-11920.0,-4808.0,-1812.0,-4530.0,1066.0,-6200.0,6532.0,15140.0,2220.0,1897.0,4584.0,14008.0,10180.0,2080.0,1590.0,4283.0,6691.0
-10220.0,-10552.0,-5192.0,-1086.0,-3839.0,518.0,-6044.0,7424.0,15268.0,842.0,2235.0,3707.0,15544.0,7956.0,2592.0,3372.0,3581.0,6545.0
-10320.0,-9888.0,-5184.0,-2038.0,-3219.0,-564.0,-5668.0,6672.0,15044.0,-1262.0,2851.0,3525.0,16140.0,6628.0,2428.0,4598.0,3677.0,5367.0
