0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
-6960.0,-11288.0,9724.0,432.0,101.0,48.0,-276.0,14032.0,8552.0,-177.0,-245.0,-131.0,11996.0,-7296.0,7864.0,-672.0,880.0,288.0
-6844.0,-11156.0,9536.0,485.0,144.0,7.0,-208.0,13572.0,8656.0,-180.0,-529.0,-60.0,12156.0,-7600.0,7904.0,-727.0,976.0,101.0
-6940.0,-11100.0,9416.0,377.0,39.0,-22.0,96.0,13696.0,8960.0,-265.0,-620.0,148.0,11884.0,-7332.0,8248.0,-586.0,1019.0,48.0
-6928.0,-11180.0,9564.0,265.0,-134.0,-141.0,232.0,13528.0,9144.0,-415.0,-343.0,265.0,11964.0,-7284.0,8168.0,-382.0,979.0,201.0
-6828.0,-11340.0,9688.0,246.0,-331.0,-252.0,100.0,13552.0,8620.0,-331.0,-314.0,549.0,11792.0,-7308.0,8220.0,-373.0,1099.0,268.0
-6736.0,-11304.0,9780.0,336.0,-363.0,-180.0,76.0,13876.0,8792.0,-224.0,-526.0,476.0,11876.0,-7480.0,8120.0,-319.0,992.0,234.0
-6820.0,-11288.0,9708.0,362.0,-203.0,-202.0,160.0,14288.0,9136.0,-345.0,-337.0,307.0,11964.0,-7504.0,8200.0,-333.0,898.0,182.0
-6884.0,-11272.0,9760.0,153.0,-202.0,-187.0,-72.0,14024.0,8764.0,-522.0,-314.0,159.0,12180.0,-7588.0,8084.0,-238.0,816.0,167.0
-6952.0,-11468.0,9860.0,50.0,-82.0,-20.0,-84.0,14036.0,8636.0,-352.0,-435.0,146.0,11924.0,-7392.0,7792.0,-464.0,958.0,117.0
-7036.0,-11356.0,9968.0,362.0,-38.0,-3.0,40.0,13888.0,8944.0,-187.0,-402.0,91.0,11812.0,-7316.0,7756.0,-713.0,1119.0,372.0
-6916.0,-11272.0,9804.0,491.0,-236.0,36.0,-20.0,13816.0,8812.0,-49.0,-348.0,184.0,12104.0,-7708.0,8360.0,-672.0,1027.0,405.0
