0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
-2408.0,-11888.0,12600.0,216.0,38.0,37.0,6388.0,10588.0,10656.0,-844.0,-313.0,377.0,-840.0,-13556.0,8180.0,-40.0,528.0,661.0
-1936.0,-11364.0,12300.0,1102.0,-497.0,150.0,6848.0,9804.0,11180.0,-799.0,-179.0,786.0,-1060.0,-13220.0,8304.0,63.0,91.0,961.0
-1768.0,-11356.0,12296.0,913.0,-1056.0,93.0,6744.0,9868.0,10444.0,-775.0,-42.0,1197.0,-1084.0,-12840.0,7968.0,300.0,228.0,1208.0
-1248.0,-11444.0,11600.0,850.0,-1022.0,-34.0,6904.0,9500.0,10292.0,-411.0,-407.0,1417.0,-1380.0,-12272.0,8412.0,312.0,59.0,1685.0
-476.0,-11828.0,11704.0,868.0,-1598.0,18.0,7512.0,9272.0,10340.0,-224.0,-393.0,1819.0,-1660.0,-11984.0,8800.0,200.0,252.0,1963.0
-180.0,-11864.0,11856.0,1079.0,-1675.0,24.0,7852.0,9080.0,10488.0,-64.0,-711.0,1837.0,-2276.0,-11604.0,9436.0,268.0,315.0,2340.0
-20.0,-13236.0,11976.0,1314.0,-2256.0,299.0,8204.0,8772.0,10728.0,1143.0,-842.0,1437.0,-2192.0,-9752.0,8876.0,-1287.0,432.0,2533.0
276.0,-13432.0,11632.0,3181.0,-2107.0,1436.0,8680.0,7468.0,10644.0,2808.0,-725.0,892.0,-2688.0,-9032.0,9764.0,-2838.0,622.0,3715.0
156.0,-13132.0,11324.0,4514.0,-3048.0,2126.0,9128.0,6784.0,10884.0,4370.0,-717.0,1359.0,-3184.0,-10476.0,10076.0,-3886.0,226.0,4833.0
692.0,-12748.0,11128.0,3722.0,-4103.0,2320.0,10188.0,6512.0,11508.0,4647.0,-912.0,2439.0,-4008.0,-11292.0,11692.0,-2990.0,49.0,5952.0
1272.0,-11900.0,10824.0,2479.0,-5013.0,2253.0,11172.0,6988.0,13856.0,3343.0,-57.0,4157.0,-5680.0,-13032.0,15164.0,-1266.0,-2201.0,7014.0
1328.0,-12024.0,10848.0,932.0,-5923.0,2338.0,12124.0,6224.0,14100.0,1100.0,1346.0,5977.0,-4764.0,-14296.0,12100.0,1325.0,-4247.0,6525.0
2152.0,-12368.0,11012.0,-2464.0,-7748.0,2353.0,12760.0,6760.0,13988.0,-1094.0,2216.0,8832.0,-5840.0,-13896.0,14332.0,4625.0,-4563.0,6794.0
3156.0,-13752.0,11100.0,-5749.0,-9917.0,1440.0,14224.0,6336.0,14788.0,-3366.0,2622.0,10726.0,-6912.0,-12688.0,16412.0,7696.0,-5990.0,8290.0
3440.0,-15948.0,12020.0,-8408.0,-11980.0,1515.0,17200.0,3840.0,16388.0,-4283.0,3529.0,14478.0,-7812.0,-13852.0,18552.0,10110.0,-8286.0,9169.0
3200.0,-15324.0,11604.0,-8643.0,-11785.0,2993.0,16396.0,7820.0,18444.0,-6286.0,5334.0,16903.0,-7156.0,-14048.0,16624.0,11554.0,-10842.0,9101.0
3968.0,-16716.0,11528.0,-13379.0,-13821.0,3511.0,16992.0,6420.0,18028.0,-7336.0,7222.0,17886.0,-6836.0,-11132.0,16284.0,13121.0,-11261.0,9402.0
3620.0,-17152.0,10936.0,-14067.0,-14903.0,5324.0,16248.0,5456.0,16964.0,-6882.0,8743.0,19309.0,-7992.0,-10344.0,17584.0,12963.0,-13252.0,10545.0
3184.0,-17124.0,10632.0,-13048.0,-15179.0,6941.0,17176.0,3316.0,17664.0,-7004.0,10880.0,21114.0,-7764.0,-9300.0,18008.0,13708.0,-15676.0,13533.0
3012.0,-15920.0,10380.0,-16065.0,-18570.0,7128.0,17372.0,4292.0,16288.0,-8658.0,12190.0,24041.0,-7712.0,-14400.0,17520.0,15835.0,-18096.0,15674.0
2784.0,-15432.0,9972.0,-20876.0,-20985.0,7202.0,20040.0,1448.0,17756.0,-10745.0,12169.0,29363.0,-8316.0,-15200.0,19484.0,21181.0,-18721.0,17885.0
3572.0,-14852.0,8348.0,-26990.0,-24086.0,6650.0,21772.0,5032.0,22124.0,-14758.0,13551.0,32767.0,-10308.0,-19148.0,22308.0,26437.0,-22815.0,18693.0
2752.0,-13680.0,6848.0,-32768.0,-26812.0,6508.0,23420.0,4520.0,23532.0,-21655.0,16991.0,32767.0,-9968.0,-17480.0,21540.0,32767.0,-26278.0,21906.0
2900.0,-14152.0,4652.0,-32768.0,-29623.0,5991.0,21900.0,5764.0,21684.0,-28461.0,19861.0,32767.0,-9724.0,-20488.0,17488.0,32767.0,-30804.0,23550.0
2656.0,-12296.0,1780.0,-32768.0,-32624.0,4483.0,21164.0,3456.0,19436.0,-32768.0,22376.0,32767.0,-8392.0,-21148.0,14328.0,32767.0,-32768.0,25572.0
2588.0,-15620.0,1144.0,-32768.0,-32768.0,2027.0,20092.0,7536.0,17656.0,-32768.0,24603.0,32767.0,-4172.0,-19244.0,5980.0,32767.0,-32768.0,23640.0
3944.0,-17280.0,4028.0,-32768.0,-32768.0,303.0,13796.0,16356.0,10732.0,-32768.0,24212.0,32767.0,1800.0,-12964.0,-1056.0,32767.0,-32768.0,21588.0
3132.0,-21976.0,8512.0,-32768.0,-32768.0,832.0,6840.0,21724.0,4440.0,-29929.0,19535.0,32767.0,6880.0,-8896.0,-4864.0,32767.0,-26920.0,18186.0
1920.0,-22428.0,15220.0,-32768.0,-32768.0,216.0,4156.0,21080.0,6592.0,-21568.0,14090.0,32767.0,6488.0,-3112.0,-364.0,32767.0,-16675.0,16671.0
1276.0,-22256.0,12932.0,-30982.0,-25077.0,3417.0,5020.0,15220.0,10096.0,-11958.0,11414.0,27796.0,4996.0,-3244.0,6900.0,21892.0,-13910.0,16507.0
336.0,-19244.0,12368.0,-8138.0,-12514.0,4938.0,4808.0,15456.0,11048.0,-7289.0,9382.0,20992.0,4208.0,-13964.0,7960.0,13172.0,-11202.0,15858.0
-1344.0,-14224.0,10944.0,-9070.0,-8558.0,3513.0,5564.0,14136.0,12824.0,-7417.0,7009.0,17327.0,3876.0,-18652.0,10820.0,13436.0,-8530.0,11047.0
-2296.0,-14356.0,11224.0,-9991.0,-4381.0,839.0,4192.0,14924.0,14008.0,-8339.0,4569.0,15674.0,4264.0,-15504.0,10228.0,12939.0,-6718.0,7045.0
-1708.0,-15656.0,9140.0,-15115.0,-8984.0,-984.0,3240.0,11568.0,13200.0,-7496.0,3196.0,11833.0,5788.0,-9568.0,8800.0,10990.0,-4407.0,4135.0
-2456.0,-16404.0,6784.0,-27204.0,-14206.0,-2513.0,3180.0,7480.0,14076.0,-3172.0,2170.0,7872.0,5720.0,-5512.0,10528.0,5469.0,-2697.0,1808.0
-620.0,-19772.0,4840.0,-8427.0,-4411.0,1430.0,3200.0,5904.0,17056.0,-158.0,1958.0,3481.0,5248.0,-3768.0,13496.0,397.0,-1622.0,360.0
-904.0,-17696.0,3216.0,620.0,125.0,2718.0,3748.0,2600.0,17544.0,376.0,2632.0,331.0,5460.0,-3960.0,14508.0,-1841.0,-1201.0,207.0
-788.0,-16204.0,700.0,3546.0,1640.0,2682.0,3024.0,60.0,16832.0,-34.0,2569.0,-225.0,5444.0,-5832.0,15176.0,-1589.0,-1194.0,-1197.0
-1116.0,-15760.0,-1572.0,3569.0,3078.0,2351.0,2824.0,-2076.0,17420.0,-1345.0,2748.0,-242.0,5488.0,-2056.0,15220.0,-15.0,-1044.0,-1863.0
-1324.0,-16328.0,-2364.0,7226.0,4627.0,1713.0,1772.0,-4232.0,15992.0,-2095.0,2873.0,-574.0,5864.0,900.0,15272.0,-510.0,-1642.0,-1779.0
-1464.0,-16368.0,-2728.0,14091.0,5179.0,2517.0,424.0,-6884.0,13492.0,-1269.0,2459.0,-513.0,6900.0,2524.0,13628.0,-1078.0,-1767.0,-562.0
-1312.0,-16792.0,-2764.0,17301.0,3769.0,3341.0,-288.0,-6704.0,12440.0,1208.0,372.0,-739.0,7788.0,2808.0,12912.0,-2449.0,-663.0,-62.0
-1972.0,-16364.0,-2808.0,16266.0,155.0,3907.0,172.0,-5440.0,16172.0,2451.0,224.0,-891.0,7988.0,2472.0,13492.0,-3471.0,-32.0,396.0
-2248.0,-15232.0,-2584.0,11851.0,-261.0,3328.0,-24.0,-4744.0,15640.0,2079.0,-236.0,-907.0,7800.0,-632.0,13764.0,-3241.0,564.0,761.0
-3936.0,-13740.0,-1988.0,10849.0,2120.0,4015.0,248.0,-5308.0,16300.0,694.0,-214.0,-27.0,7616.0,-548.0,14188.0,-1738.0,245.0,90.0
-3308.0,-13956.0,-2768.0,12871.0,2180.0,2967.0,-248.0,-6220.0,15396.0,-411.0,359.0,1343.0,7432.0,388.0,13760.0,-1329.0,-1253.0,368.0
-3460.0,-12676.0,-3280.0,5566.0,-1964.0,2438.0,-2032.0,-5968.0,12252.0,-331.0,327.0,2306.0,8032.0,2044.0,10708.0,321.0,-1125.0,1202.0
-3448.0,-12624.0,-1932.0,2439.0,-3775.0,1559.0,-2544.0,-5412.0,10644.0,915.0,-433.0,2509.0,8420.0,3176.0,8576.0,-985.0,-1099.0,2060.0
-3540.0,-11284.0,-1688.0,4641.0,-3003.0,2326.0,-3288.0,-2624.0,9516.0,2806.0,-504.0,1390.0,8384.0,3624.0,6172.0,-3054.0,-370.0,2603.0
-3312.0,-9148.0,-1224.0,5718.0,-4270.0,2596.0,-2752.0,-2744.0,7860.0,4012.0,-1487.0,663.0,7696.0,576.0,4264.0,-5396.0,711.0,2852.0
-2700.0,-5532.0,-728.0,8995.0,-2340.0,2155.0,-2860.0,-748.0,6348.0,3572.0,-2154.0,1188.0,7264.0,-3472.0,3848.0,-4440.0,1972.0,1994.0
