0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
-3304.0,-10892.0,12628.0,116.0,398.0,286.0,5592.0,11160.0,11420.0,-657.0,86.0,-171.0,1724.0,-13760.0,7576.0,-595.0,430.0,-185.0
-3240.0,-10824.0,12632.0,-139.0,280.0,156.0,5344.0,11140.0,10860.0,-597.0,28.0,-199.0,1668.0,-13808.0,7620.0,-515.0,488.0,-167.0
-3296.0,-10592.0,12392.0,-107.0,224.0,136.0,5400.0,10892.0,11052.0,-631.0,-113.0,-146.0,1676.0,-13572.0,7700.0,-455.0,513.0,-178.0
-3384.0,-10644.0,12368.0,-98.0,107.0,21.0,5308.0,10732.0,10912.0,-702.0,-189.0,38.0,1676.0,-13376.0,7656.0,-351.0,594.0,82.0
-3436.0,-10652.0,12224.0,-64.0,-162.0,-3.0,5492.0,10272.0,10856.0,-553.0,-190.0,333.0,1664.0,-13360.0,7544.0,-306.0,586.0,340.0
-3156.0,-10544.0,12264.0,-11.0,-400.0,-47.0,5312.0,11152.0,10776.0,-444.0,-162.0,495.0,1624.0,-13600.0,7540.0,-166.0,570.0,381.0
-3120.0,-10632.0,12532.0,26.0,-33.0,-77.0,5380.0,11596.0,10804.0,-625.0,-228.0,163.0,1612.0,-13380.0,7248.0,-316.0,721.0,251.0
-3108.0,-10660.0,12472.0,262.0,99.0,52.0,5416.0,10832.0,10572.0,-384.0,-209.0,-23.0,1380.0,-13208.0,7564.0,-656.0,693.0,286.0
-3056.0,-10572.0,12360.0,381.0,-73.0,60.0,5680.0,10328.0,10404.0,-249.0,-421.0,179.0,1212.0,-13516.0,7632.0,-561.0,671.0,407.0
-2652.0,-10512.0,12320.0,188.0,-423.0,-50.0,6244.0,10308.0,11200.0,-351.0,-483.0,577.0,868.0,-13320.0,8156.0,-268.0,715.0,643.0
-2464.0,-10572.0,12212.0,-147.0,-709.0,-199.0,6516.0,10296.0,11184.0,-898.0,-349.0,922.0,632.0,-13584.0,8252.0,276.0,498.0,868.0
-1908.0,-10836.0,12340.0,-409.0,-1082.0,-300.0,7240.0,9160.0,10820.0,-1189.0,-257.0,1661.0,80.0,-13076.0,9116.0,1102.0,375.0,1257.0
-1464.0,-10272.0,11924.0,-1099.0,-1731.0,-678.0,7800.0,9024.0,11040.0,-2323.0,-405.0,3140.0,-340.0,-14404.0,9760.0,2967.0,115.0,2002.0
